Here is the Julia function that implements the rolling maximum:

```julia
function rolling_max(numbers::Vector{Int})::Vector{Int}
    max_num = -Inf
    result = Int[]
    for num in numbers
        max_num = max(max_num, num)
        push_max = max_num
        push_max != num ? push_max = max_num : push_max = num
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max = max(push_max, num)
        push_max =
